Col1,Svm-Tss,Svm-std,Logistic-tss,Logistic-std
USFLUX,0.85,0.018,0.83,0.022
MEANGAM,0.63,0.023,0.51,0.03
MEANGBT,0.78,0.018,0.75,0.022
MEANGBZ,0.71,0.022,0.64,0.026
MEANGBH,0.6,0.026,0.49,0.027
MEANJZD,0.41,0.059,0.49,0.029
TOTUSJZ,0.82,0.021,0.8,0.02
MEANALP,0.1,0.065,0.1,0.059
MEANJZH,0.48,0.032,0.21,0.029
TOTUSJH,0.84,0.023,0.83,0.025
ABSNJZH,0.79,0.023,0.69,0.03
SVANCPP,0.82,0.02,0.78,0.027
MEANPOT,0.73,0.021,0.7,0.027
TOTPOT,0.83,0.021,0.78,0.027
MEANSHR,0.65,0.024,0.61,0.03
SHRGT45,0.71,0.022,0.63,0.03
AREA_ACR,0.83,0.021,0.77,0.022
